iter	Passed	Remaining
244	1030	3174
245	1034	3169
246	1037	3162
247	1042	3159
248	1046	3155
249	1049	3149
250	1053	3143
251	1058	3140
252	1062	3136
253	1065	3129
254	1069	3123
255	1073	3119
256	1078	3118
257	1083	3114
258	1089	3116
259	1093	3112
260	1097	3106
261	1102	3105
262	1106	3100
263	1109	3094
264	1114	3090
265	1119	3087
266	1122	3082
267	1126	3075
268	1131	3074
269	1135	3070
270	1139	3064
271	1143	3059
272	1148	3058
273	1152	3053
274	1156	3048
275	1160	3045
276	1165	3041
277	1168	3035
278	1173	3032
279	1177	3028
280	1181	3022
281	1185	3018
282	1190	3017
283	1194	3012
284	1198	3007
285	1202	3002
286	1207	2999
287	1211	2993
288	1214	2988
289	1219	2985
290	1223	2980
291	1227	2975
292	1230	2970
293	1236	2968
294	1240	2964
295	1244	2958
296	1248	2955
297	1253	2952
298	1256	2946
299	1260	2940
300	1265	2937
301	1269	2935
302	1273	2929
303	1277	2925
304	1283	2923
305	1287	2919
306	1290	2913
307	1296	2912
308	1300	2907
309	1303	2901
310	1307	2897
311	1312	2894
312	1316	2889
313	1320	2884
314	1325	2883
315	1330	2878
316	1333	2873
317	1337	2868
318	1342	2865
319	1346	2860
320	1350	2855
321	1354	2852
322	1358	2847
323	1362	2841
324	1366	2837
325	1370	2834
326	1374	2829
327	1378	2824
328	1383	2820
329	1387	2816
330	1391	2812
331	1395	2807
332	1400	2804
333	1404	2799
334	1407	2794
335	1412	2790
336	1416	2786
337	1420	2781
338	1424	2777
339	1429	2775
340	1433	2770
341	1437	2766
342	1443	2765
343	1448	2762
344	1452	2757
345	1456	2753
346	1462	2752
347	1466	2747
348	1469	2741
349	1474	2738
350	1479	2735
351	1482	2729
352	1487	2726
353	1492	2723
354	1496	2718
355	1500	2714
356	1504	2710
357	1508	2705
358	1512	2700
359	1516	2696
360	1521	2692
361	1525	2687
362	1528	2682
363	1534	2680
364	1538	2676
365	1541	2671
366	1547	2669
367	1551	2665
368	1556	2662
369	1563	2661
370	1566	2656
371	1570	2651
372	1574	2647
373	1579	2643
374	1583	2638
375	1586	2633
376	1591	2630
377	1596	2626
378	1599	2621
379	1604	2617
380	1608	2613
381	1612	2608
382	1616	2603
383	1620	2599
384	1624	2595
385	1629	2592
386	1635	2590
387	1639	2586
388	1643	2582
389	1662	2599
390	1678	2614
391	1683	2611
392	1696	2619
393	1702	2618
394	1706	2614
395	1710	2608
396	1715	2605
397	1720	2602
398	1724	2597
399	1728	2592
400	1733	2588
401	1736	2583
402	1740	2577
403	1745	2575
404	1751	2572
405	1761	2577
406	1768	2576
407	1774	2575
408	1779	2571
409	1785	2569
410	1791	2568
411	1798	2566
412	1804	2564
413	1809	2561
414	1816	2560
415	1821	2557
416	1827	2554
417	1832	2552
418	1838	2549
419	1844	2546
420	1850	2545
421	1854	2540
422	1860	2537
423	1866	2534
424	1870	2530
425	1876	2528
426	1880	2523
427	1885	2519
428	1890	2516
429	1896	2513
430	1900	2508
431	1904	2504
432	1909	2500
433	1913	2495
434	1917	2490
435	1923	2488
436	1927	2483
437	1931	2478
438	1937	2475
439	1941	2471
440	1946	2467
441	1952	2464
442	1956	2460
443	1961	2456
444	1966	2452
445	1970	2447
446	1975	2443
447	1980	2439
448	1983	2434
449	1987	2429
450	1992	2425
451	1996	2420
452	2000	2416
453	2005	2411
454	2009	2407
455	2013	2401
456	2017	2396
457	2021	2392
458	2025	2387
459	2030	2383
460	2033	2377
461	2047	2384
462	2051	2379
463	2055	2374
464	2059	2368
465	2062	2363
466	2067	2359
467	2071	2354
468	2075	2349
469	2079	2344
470	2083	2340
471	2088	2335
472	2091	2330
473	2095	2325
474	2100	2321
475	2104	2316
476	2108	2311
477	2113	2308
478	2117	2303
479	2121	2298
480	2125	2293
481	2130	2289
482	2133	2284
483	2137	2278
484	2142	2274
485	2146	2269
486	2150	2264
487	2154	2260
488	2160	2257
489	2164	2253
490	2170	2249
491	2174	2245
492	2178	2240
493	2182	2235
494	2187	2232
495	2191	2227
496	2195	2221
497	2199	2217
498	2204	2212
499	2207	2207
500	2211	2203
501	2216	2199
502	2220	2194
503	2224	2189
504	2228	2184
505	2232	2180
506	2236	2175
507	2240	2170
508	2245	2166
509	2250	2161
510	2253	2156
511	2257	2151
512	2262	2147
513	2266	2142
514	2270	2138
515	2275	2134
516	2279	2129
517	2284	2125
518	2288	2121
519	2293	2116
520	2297	2111
521	2300	2106
522	2305	2102
523	2309	2097
524	2313	2093
525	2317	2088
526	2321	2084
527	2326	2079
528	2330	2074
529	2335	2071
530	2339	2066
531	2343	2061
532	2348	2057
533	2352	2053
534	2356	2048
535	2360	2043
536	2366	2040
537	2370	2035
538	2374	2030
539	2379	2026
540	2383	2022
541	2387	2017
542	2390	2012
543	2396	2008
544	2399	2003
545	2403	1998
546	2407	1993
547	2411	1989
548	2416	1984
549	2419	1979
550	2425	1976
551	2431	1973
552	2436	1969
553	2441	1965
554	2445	1960
555	2449	1956
556	2454	1952
557	2458	1947
558	2462	1942
559	2466	1937
560	2470	1933
561	2489	1940
562	2492	1934
563	2495	1929
564	2499	1924
565	2503	1919
566	2507	1914
567	2510	1909
568	2514	1904
569	2520	1901
570	2524	1896
571	2530	1893
572	2535	1889
573	2539	1884
574	2542	1879
575	2547	1875
576	2551	1870
577	2555	1865
578	2560	1861
579	2564	1857
580	2568	1851
581	2571	1847
582	2577	1843
583	2581	1839
584	2585	1833
585	2589	1829
586	2594	1825
587	2597	1820
588	2601	1815
589	2606	1811
590	2610	1806
591	2614	1801
592	2618	1797
593	2623	1792
594	2627	1788
595	2631	1783
596	2636	1779
597	2640	1775
598	2644	1770
599	2651	1767
600	2656	1763
601	2660	1759
602	2666	1755
603	2670	1751
604	2675	1746
605	2679	1742
606	2684	1738
607	2688	1733
608	2692	1728
609	2697	1724
610	2701	1719
611	2704	1714
612	2710	1711
613	2714	1706
614	2718	1701
615	2722	1697
616	2728	1693
617	2732	1688
618	2736	1684
619	2740	1679
620	2744	1675
621	2748	1670
622	2753	1666
623	2757	1661
624	2762	1657
625	2765	1652
626	2770	1648
627	2774	1643
628	2778	1638
629	2783	1634
630	2788	1630
631	2792	1625
632	2796	1621
633	2800	1616
634	2804	1612
635	2808	1607
636	2812	1602
637	2817	1598
638	2821	1593
639	2825	1589
640	2830	1585
641	2834	1580
642	2838	1576
643	2843	1571
644	2847	1567
645	2851	1562
646	2855	1557
647	2860	1553
648	2864	1549
649	2868	1544
650	2873	1540
651	2877	1536
652	2881	1531
653	2885	1526
654	2890	1522
655	2896	1518
656	2904	1516
657	2909	1512
658	2912	1507
659	2917	1502
660	2923	1499
661	2927	1494
662	2931	1489
663	2935	1485
664	2940	1481
665	2944	1476
666	2949	1472
667	2953	1468
668	2957	1463
669	2961	1458
670	2966	1454
671	2970	1449
672	2974	1445
673	2979	1441
674	2983	1436
675	2986	1431
676	2991	1427
677	2995	1422
678	2999	1417
679	3002	1413
680	3007	1408
681	3011	1404
682	3016	1400
683	3021	1395
684	3025	1391
685	3029	1386
686	3033	1382
687	3038	1377
688	3042	1373
689	3046	1368
690	3051	1364
691	3055	1360
692	3059	1355
693	3063	1350
694	3068	1346
695	3073	1342
696	3076	1337
697	3081	1333
698	3086	1328
699	3090	1324
700	3094	1319
701	3098	1315
702	3103	1310
703	3106	1306
704	3111	1301
705	3116	1297
706	3120	1293
707	3123	1288
708	3129	1284
709	3133	1279
710	3136	1275
711	3140	1270
712	3145	1266
713	3149	1261
714	3153	1256
715	3158	1252
716	3162	1248
717	3166	1243
718	3171	1239
719	3175	1234
720	3179	1230
721	3183	1225
722	3188	1221
723	3192	1216
724	3196	1212
725	3200	1207
726	3204	1203
727	3208	1198
728	3213	1194
729	3218	1190
730	3222	1185
731	3227	1181
732	3232	1177
733	3236	1172
734	3240	1168
735	3243	1163
736	3248	1159
737	3252	1154
738	3257	1150
739	3263	1146
740	3268	1142
741	3271	1137
742	3275	1133
743	3280	1128
744	3284	1124
745	3288	1119
746	3293	1115
747	3297	1110
748	3301	1106
749	3311	1103
750	3314	1098
751	3317	1094
752	3322	1089
753	3326	1085
754	3330	1080
755	3334	1076
756	3339	1072
757	3344	1067
758	3350	1063
759	3355	1059
760	3359	1054
761	3362	1050
762	3368	1046
763	3372	1041
764	3376	1037
765	3381	1032
766	3385	1028
767	3389	1023
768	3392	1019
769	3399	1015
770	3403	1010
771	3407	1006
772	3426	1006
773	3430	1001
774	3433	996
775	3436	992
776	3439	987
777	3444	982
778	3448	978
779	3452	973
780	3456	969
781	3461	964
782	3464	960
783	3469	955
784	3474	951
785	3478	947
786	3482	942
787	3487	938
788	3491	933
789	3495	929
790	3499	924
791	3504	920
792	3508	915
793	3513	911
794	3517	907
795	3521	902
796	3525	898
797	3529	893
798	3534	889
799	3539	884
800	3544	880
801	3551	876
802	3555	872
803	3559	867
804	3566	863
805	3570	859
806	3575	855
807	3580	850
808	3584	846
809	3588	841
810	3594	837
811	3598	833
812	3601	828
813	3607	824
814	3611	819
815	3615	815
816	3619	810
817	3624	806
818	3628	801
819	3632	797
820	3638	793
821	3642	788
822	3647	784
823	3653	780
824	3658	776
825	3663	771
826	3668	767
827	3672	762
828	3676	758
829	3680	753
830	3686	749
831	3690	745
832	3695	740
833	3700	736
834	3703	731
835	3708	727
836	3713	723
837	3717	718
838	3721	714
839	3726	709
840	3730	705
841	3734	700
842	3738	696
843	3742	691
844	3746	687
845	3750	682
846	3754	678
847	3758	673
848	3763	669
849	3767	664
850	3772	660
851	3777	656
852	3780	651
853	3785	647
854	3789	642
855	3793	638
856	3797	633
857	3802	629
858	3807	624
859	3811	620
860	3816	616
861	3820	611
862	3824	607
863	3828	602
864	3833	598
865	3837	593
866	3841	589
867	3846	584
868	3850	580
869	3854	575
870	3858	571
871	3863	567
872	3867	562
873	3870	558
874	3875	553
875	3879	549
876	3883	544
877	3887	540
878	3892	535
879	3896	531
880	3900	526
881	3905	522
882	3909	518
883	3913	513
884	3917	509
885	3922	504
886	3926	500
887	3929	495
888	3933	491
889	3937	486
890	3943	482
891	3946	477
892	3951	473
893	3955	469
894	3959	464
895	3964	460
896	3969	455
897	3972	451
898	3976	446
899	3981	442
900	3985	437
901	3989	433
902	3993	428
903	3999	424
904	4004	420
905	4010	416
906	4014	411
907	4018	407
908	4021	402
909	4026	398
910	4030	393
911	4034	389
912	4039	384
913	4043	380
914	4047	376
915	4052	371
916	4056	367
917	4060	362
918	4064	358
919	4069	353
920	4073	349
921	4077	344
922	4082	340
923	4086	336
924	4090	331
925	4095	327
926	4099	322
927	4103	318
928	4107	313
929	4111	309
930	4116	305
931	4119	300
932	4124	296
933	4129	291
934	4134	287
935	4138	282
936	4143	278
937	4147	274
938	4151	269
939	4155	265
940	4159	260
941	4163	256
942	4167	251
943	4172	247
944	4176	243
945	4180	238
946	4187	234
947	4192	229
948	4195	225
949	4199	221
950	4204	216
951	4208	212
952	4212	207
953	4217	203
954	4221	198
955	4225	194
956	4229	190
957	4234	185
958	4238	181
959	4241	176
960	4247	172
961	4251	167
962	4254	163
963	4258	159
964	4263	154
965	4267	150
966	4271	145
967	4275	141
968	4280	136
969	4283	132
970	4288	128
971	4293	123
972	4297	119
973	4300	114
974	4306	110
975	4310	106
976	4314	101
977	4318	97
978	4323	92
979	4327	88
980	4331	83
981	4336	79
982	4340	75
983	4344	70
984	4348	66
985	4353	61
986	4357	57
987	4362	52
988	4369	48
989	4373	44
990	4377	39
991	4382	35
992	4386	30
993	4390	26
994	4394	22
995	4398	17
996	4402	13
997	4406	8
998	4410	4
999	4415	0
