iter	RMSE
0	0.1328725427
1	0.1321333034
2	0.1311891975
3	0.1304632402
4	0.1296152376
5	0.1289845117
6	0.1283315875
7	0.1273609736
8	0.126853722
9	0.125969324
10	0.1252585806
11	0.1246914631
12	0.1239199594
13	0.1234780319
14	0.1229429065
15	0.1222442917
16	0.1219605892
17	0.1214257177
18	0.1210914573
19	0.1202505292
20	0.119431306
21	0.1185564696
22	0.1181480917
23	0.1177009852
24	0.1172046383
25	0.1166030639
26	0.1160167437
27	0.1155021759
28	0.1149852095
29	0.11442916
30	0.1138146096
31	0.1133495506
32	0.1125004322
33	0.1120683444
34	0.1115711483
35	0.1108656653
36	0.110551999
37	0.1103007874
38	0.1095857198
39	0.109280635
40	0.1088876649
41	0.1084858197
42	0.108111323
43	0.1076180185
44	0.1069326596
45	0.1065211918
46	0.106343537
47	0.1058546221
48	0.105601206
49	0.105311799
50	0.104721153
51	0.1041522187
52	0.1037353381
53	0.1030377368
54	0.1026172387
55	0.1024028132
56	0.1018954292
57	0.1013563558
58	0.1007843959
59	0.1003701849
60	0.1000764615
61	0.09974888202
62	0.09947857149
63	0.09872131646
64	0.09843634771
65	0.09798478511
66	0.0974148483
67	0.09696875553
68	0.09660425979
69	0.0959640699
70	0.09569887945
71	0.09549859573
72	0.09489562191
73	0.09453997131
74	0.09420119664
75	0.09355032225
76	0.09334156948
77	0.09297759633
78	0.09244691448
79	0.09196673819
80	0.09176581918
81	0.09109668736
82	0.09090256196
83	0.09068165655
84	0.09016852364
85	0.08950254144
86	0.0892035715
87	0.08885756799
88	0.08870556569
89	0.08849604919
90	0.08805533942
91	0.08762988835
92	0.08699527665
93	0.08667777396
94	0.08625247271
95	0.08605179228
96	0.08579542813
97	0.08527427257
98	0.08483247903
99	0.08433664628
100	0.08418178503
101	0.08369659991
102	0.08352753273
103	0.08340030287
104	0.08298189186
105	0.08273017026
106	0.08226782978
107	0.08201291395
108	0.08152903532
109	0.08091629528
110	0.08034530059
111	0.08007683837
112	0.07968057867
113	0.07946247478
114	0.07917977179
115	0.07892042255
116	0.07860793227
117	0.07839610615
118	0.07791123749
119	0.07742659814
120	0.07728203756
121	0.07686513587
122	0.0767259475
123	0.07632885577
124	0.07618101759
125	0.07573436689
126	0.07524946574
127	0.07497558579
128	0.07479808226
129	0.07469505598
130	0.07449061751
131	0.07420858544
132	0.0738344963
133	0.07345312252
134	0.07337304057
135	0.0731906549
136	0.07265680034
137	0.0723131581
138	0.07191248025
139	0.07153682922
140	0.07110339875
141	0.0708103279
142	0.070376443
143	0.07029763867
144	0.07014982005
145	0.06965266965
146	0.06953079138
147	0.06906525365
148	0.06879585529
149	0.06832271245
150	0.0680902105
151	0.06775195263
152	0.0675597665
153	0.06705875588
154	0.0666583923
155	0.06648991606
156	0.06617874646
157	0.0658005552
158	0.06547151149
159	0.06523298955
160	0.06476768932
161	0.06442342286
162	0.0640760917
163	0.06392710357
164	0.06371534993
165	0.06343555998
166	0.06307531319
167	0.06277081931
168	0.06243918838
169	0.06222431947
170	0.06215214642
171	0.06190463062
172	0.06160573239
173	0.06145350891
174	0.06122771472
175	0.06070440136
176	0.06056747164
177	0.06038339439
178	0.06019210566
179	0.05989593953
180	0.0594957481
181	0.05910897764
182	0.05870436679
183	0.05828286054
184	0.05793553102
185	0.05755793275
186	0.05714022471
187	0.05683890893
188	0.05651553254
189	0.05623531182
190	0.05579656856
191	0.05558236798
192	0.05534727814
193	0.05520138415
194	0.05489727416
195	0.05475802346
196	0.05468452859
197	0.05461088306
198	0.05450944208
199	0.05430615787
200	0.05391843268
201	0.05361571511
202	0.05334229894
203	0.05294892027
204	0.05272990334
205	0.05234889643
206	0.05188278746
207	0.05154227216
208	0.0514531984
209	0.05126636184
210	0.05078704108
211	0.0507036768
212	0.05030383724
213	0.05013122729
214	0.04979805342
215	0.04947068797
216	0.04916115025
217	0.04910184487
218	0.0489878344
219	0.04856584187
220	0.04819975088
221	0.04789735885
222	0.04764150589
223	0.04757404416
224	0.04725533634
225	0.04690406084
226	0.04681998594
227	0.04657105146
228	0.04629598005
229	0.04618202892
230	0.045807241
231	0.0456225882
232	0.04526938466
233	0.04495966701
234	0.04465609064
235	0.04444685431
236	0.04428675392
237	0.04420305639
238	0.04384943846
239	0.04346117414
240	0.04333409163
241	0.04313151549
242	0.0430374693
243	0.04269130178
244	0.0426284433
245	0.0425536807
246	0.04226735127
247	0.04220880347
248	0.04190594641
249	0.04181553618
250	0.04175426018
251	0.04139409744
252	0.04123683988
253	0.04100866509
254	0.04089411195
255	0.04076136523
256	0.040571903
257	0.04028524927
258	0.03997386334
259	0.03983306632
